Pokemon,Type,Species,Height,Weight,Abilities,EV Yield,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,Sprite
Ferrothorn,"Grass, Steel",Thorn Pod Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs),"1. Iron Barbs, Anticipation (hidden ability)",2 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),171,Medium Fast,"Grass, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",74,258,352,94,173,315,131,240,397,54,101,227,116,213,364,20,40,152,Ferrothorn.png
Fezandipiti,"Poison, Fairy",Retainer Pokémon,1.4 m (4′07″),30.1 kg (66.4 lbs),"1. Toxic Chain, Technician (hidden ability)",3 Sp. Def,"3 (0.4% with PokéBall, full HP)",—,—,Slow,Undiscovered,"100% male, 0% female",—,88,286,380,91,168,309,82,152,289,70,130,262,125,229,383,99,182,326,Fezandipiti.png
Fidough,Fairy,Puppy Pokémon,0.3 m (1′00″),10.9 kg (24.0 lbs),"1. Own Tempo, Klutz (hidden ability)",1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Field, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",37,184,278,55,103,229,70,130,262,30,58,174,55,103,229,65,121,251,Fidough.png
Finizen,Water,Dolphin Pokémon,1.3 m (4′03″),60.2 kg (132.7 lbs),1. Water Veil,1 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),63,Slow,"Field, Water 2","50% male, 50% female","40 (10,024–10,280 steps)",70,250,344,45,85,207,40,76,196,45,85,207,40,76,196,75,139,273,Finizen.png
Finneon,Water,Wing Fish Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),"1. Swift Swim, 2. Storm Drain, Water Veil (hidden ability)",1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),66,Erratic,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",49,208,302,49,92,216,56,105,232,49,92,216,61,114,243,66,123,254,Finneon.png
Flaaffy,Electric,Wool Pokémon,0.8 m (2′07″),13.3 kg (29.3 lbs),"1. Static, Plus (hidden ability)",2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),128,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,55,103,229,55,103,229,80,148,284,60,112,240,45,85,207,Flaaffy.png
Flabébé,Fairy,Single Bloom Pokémon,0.1 m (0′04″),0.1 kg (0.2 lbs),"1. Flower Veil, Symbiosis (hidden ability)",1 Sp. Def,"225 (29.4% with PokéBall, full HP)",50 (normal),61,Medium Fast,Fairy,"0% male, 100% female","20 (4,884–5,140 steps)",44,198,292,38,72,192,39,74,194,61,114,243,79,146,282,42,80,201,Flabébé.png
Flamigo,"Flying, Fighting",Synchronize Pokémon,1.6 m (5′03″),37.0 kg (81.6 lbs),"1. Scrappy, 2. Tangled Feet, Costar (hidden ability)",2 Attack,"100 (13.1% with PokéBall, full HP)",50 (normal),175,Medium Slow,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",82,274,368,115,211,361,74,137,271,75,139,273,64,119,249,90,166,306,Flamigo.png
Flapple,"Grass, Dragon",Apple Wing Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs),"1. Ripen, 2. Gluttony, Hustle (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),170,Erratic,"Dragon, Grass","50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,110,202,350,80,148,284,95,175,317,60,112,240,70,130,262,Flapple.png
Flareon,Fire,Flame Pokémon,0.9 m (2′11″),25.0 kg (55.1 lbs),"1. Flash Fire, Guts (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),184,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",65,240,334,130,238,394,60,112,240,95,175,317,110,202,350,65,121,251,Flareon.png
Fletchinder,"Fire, Flying",Ember Pokémon,0.7 m (2′04″),16.0 kg (35.3 lbs),"1. Flame Body, Gale Wings (hidden ability)",2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),134,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",62,234,328,73,135,269,55,103,229,56,105,232,52,98,223,84,155,293,Fletchinder.png
Fletchling,"Normal, Flying",Tiny Robin Pokémon,0.3 m (1′00″),1.7 kg (3.7 lbs),"1. Big Pecks, Gale Wings (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",45,200,294,50,94,218,43,81,203,40,76,196,38,72,192,62,116,245,Fletchling.png
Flittle,Psychic,Frill Pokémon,0.2 m (0′08″),1.5 kg (3.3 lbs),"1. Anticipation, 2. Frisk, Speed Boost (hidden ability)",1 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),51,Medium Slow,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",30,170,264,35,67,185,30,58,174,55,103,229,30,58,174,75,139,273,Flittle.png
Floatzel,Water,Sea Weasel Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs),"1. Swift Swim, Water Veil (hidden ability)",2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),173,Medium Fast,"Field, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",85,280,374,105,193,339,55,103,229,85,157,295,50,94,218,115,211,361,Floatzel.png
Floette,Fairy,Single Bloom Pokémon,0.2 m (0′08″),0.9 kg (2.0 lbs),"1. Flower Veil, Symbiosis (hidden ability)",2 Sp. Def,"120 (15.7% with PokéBall, full HP)",50 (normal),130,Medium Fast,Fairy,"0% male, 100% female","20 (4,884–5,140 steps)",54,218,312,45,85,207,47,89,212,75,139,273,98,180,324,52,98,223,Floette.png
Floragato,Grass,Grass Cat Pokémon,0.9 m (2′11″),12.2 kg (26.9 lbs),"1. Overgrow, Protean (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),144,Medium Slow,"Field, Grass","87.5% male, 12.5% female","20 (4,884–5,140 steps)",61,232,326,80,148,284,63,117,247,60,112,240,63,117,247,83,153,291,Floragato.png
Florges,Fairy,Garden Pokémon,1.1 m (3′07″),10.0 kg (22.0 lbs),"1. Flower Veil, Symbiosis (hidden ability)",3 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),276,Medium Fast,Fairy,"0% male, 100% female","20 (4,884–5,140 steps)",78,266,360,65,121,251,68,126,258,112,206,355,154,281,447,75,139,273,Florges.png
Flutter Mane,"Ghost, Fairy",Paradox Pokémon,1.4 m (4′07″),4.0 kg (8.8 lbs),1. Protosynthesis,"1 Sp. Atk, 1 Sp. Def, 1 Speed","30 (3.9% with PokéBall, full HP)",0 (lower than normal),285,Slow,Undiscovered,Genderless,"50 (12,594–12,850 steps)",55,220,314,55,103,229,55,103,229,135,247,405,135,247,405,135,247,405,Flutter Mane.png
Flygon,"Ground, Dragon",Mystic Pokémon,2.0 m (6′07″),82.0 kg (180.8 lbs),1. Levitate,"1 Attack, 2 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),234,Medium Slow,"Bug, Dragon","50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,100,184,328,80,148,284,80,148,284,80,148,284,100,184,328,Flygon.png
Fomantis,Grass,Sickle Grass Pokémon,0.3 m (1′00″),1.5 kg (3.3 lbs),"1. Leaf Guard, Contrary (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),50,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,55,103,229,35,67,185,50,94,218,35,67,185,35,67,185,Fomantis.png
Foongus,"Grass, Poison",Mushroom Pokémon,0.2 m (0′08″),1.0 kg (2.2 lbs),"1. Effect Spore, Regenerator (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),59,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",69,248,342,55,103,229,45,85,207,55,103,229,55,103,229,15,31,141,Foongus.png
Forretress,"Bug, Steel",Bagworm Pokémon,1.2 m (3′11″),125.8 kg (277.3 lbs),"1. Sturdy, Overcoat (hidden ability)",2 Defense,"75 (9.8% with PokéBall, full HP)",50 (normal),163,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,90,166,306,140,256,416,60,112,240,60,112,240,40,76,196,Forretress.png
Fraxure,Dragon,Axe Jaw Pokémon,1.0 m (3′03″),36.0 kg (79.4 lbs),"1. Rivalry, 2. Mold Breaker, Unnerve (hidden ability)",2 Attack,"60 (7.8% with PokéBall, full HP)",35 (lower than normal),144,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",66,242,336,117,215,366,70,130,262,40,76,196,50,94,218,67,125,256,Fraxure.png
Frigibax,"Dragon, Ice",Ice Fin Pokémon,0.5 m (1′08″),17.0 kg (37.5 lbs),"1. Thermal Exchange, Ice Body (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),64,Slow,"Dragon, Mineral","50% male, 50% female","40 (10,024–10,280 steps)",65,240,334,75,139,273,45,85,207,35,67,185,45,85,207,55,103,229,Frigibax.png
Frillish,"Water, Ghost",Floating Pokémon,1.2 m (3′11″),33.0 kg (72.8 lbs),"1. Water Absorb, 2. Cursed Body, Damp (hidden ability)",1 Sp. Def,"190 (24.8% with PokéBall, full HP)",50 (normal),67,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,40,76,196,50,94,218,65,121,251,85,157,295,40,76,196,Frillish.png
Froakie,Water,Bubble Frog Pokémon,0.3 m (1′00″),7.0 kg (15.4 lbs),"1. Torrent, Protean (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),63,Medium Slow,Water 1,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",41,192,286,56,105,232,40,76,196,62,116,245,44,83,205,71,132,265,Froakie.png
Frogadier,Water,Bubble Frog Pokémon,0.6 m (2′00″),10.9 kg (24.0 lbs),"1. Torrent, Protean (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,Water 1,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",54,218,312,63,117,247,52,98,223,83,153,291,56,105,232,97,179,322,Frogadier.png
Froslass,"Ice, Ghost",Snow Land Pokémon,1.3 m (4′03″),26.6 kg (58.6 lbs),"1. Snow Cloak, Cursed Body (hidden ability)",2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),168,Medium Fast,"Fairy, Mineral","0% male, 100% female","20 (4,884–5,140 steps)",70,250,344,80,148,284,70,130,262,80,148,284,70,130,262,110,202,350,Froslass.png
Frosmoth,"Ice, Bug",Frost Moth Pokémon,1.3 m (4′03″),42.0 kg (92.6 lbs),"1. Shield Dust, Ice Scales (hidden ability)",2 Sp. Atk,"75 (9.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,65,121,251,60,112,240,125,229,383,90,166,306,65,121,251,Frosmoth.png
Fuecoco,Fire,Fire Croc Pokémon,0.4 m (1′04″),9.8 kg (21.6 lbs),"1. Blaze, Unaware (hidden ability)",1 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",67,244,338,45,85,207,59,110,238,63,117,247,40,76,196,36,69,188,Fuecoco.png
Furfrou,Normal,Poodle Pokémon,1.2 m (3′11″),28.0 kg (61.7 lbs),1. Fur Coat,1 Speed,"160 (20.9% with PokéBall, full HP)",50 (normal),165,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,80,148,284,60,112,240,65,121,251,90,166,306,102,188,333,Furfrou.png
Furret,Normal,Long Body Pokémon,1.8 m (5′11″),32.5 kg (71.7 lbs),"1. Run Away, 2. Keen Eye, Frisk (hidden ability)",2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),145,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",85,280,374,76,141,276,64,119,249,45,85,207,55,103,229,90,166,306,Furret.png
Gabite,"Dragon, Ground",Cave Pokémon,1.4 m (4′07″),56.0 kg (123.5 lbs),"1. Sand Veil, Rough Skin (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),144,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",68,246,340,90,166,306,65,121,251,50,94,218,55,103,229,82,152,289,Gabite.png
Gallade,"Psychic, Fighting",Blade Pokémon,1.6 m (5′03″),52.0 kg (114.6 lbs),"1. Steadfast, 2. Sharpness, Justified (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),259,Slow,"Amorphous, Human-Like","100% male, 0% female","20 (4,884–5,140 steps)",68,246,340,125,229,383,65,121,251,65,121,251,115,211,361,80,148,284,Gallade.png
Mega Gallade,"Psychic, Fighting",Blade Pokémon,1.6 m (5′03″),56.4 kg (124.3 lbs),1. Inner Focus,3 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),278,Slow,Amorphous,"100% male, 0% female","20 (4,884–5,140 steps)",68,246,340,165,301,471,95,175,317,65,121,251,115,211,361,110,202,350,Mega Gallade.png
Galvantula,"Bug, Electric",EleSpider Pokémon,0.8 m (2′07″),14.3 kg (31.5 lbs),"1. Compound Eyes, 2. Unnerve, Swarm (hidden ability)",2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),165,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,77,143,278,60,112,240,97,179,322,60,112,240,108,198,346,Galvantula.png
Garbodor,Poison,Trash Heap Pokémon,1.9 m (6′03″),107.3 kg (236.6 lbs),"1. Stench, 2. Weak Armor, Aftermath (hidden ability)",2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,95,175,317,82,152,289,60,112,240,82,152,289,75,139,273,Garbodor.png
Garchomp,"Dragon, Ground",Mach Pokémon,1.9 m (6′03″),95.0 kg (209.4 lbs),"1. Sand Veil, Rough Skin (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),300,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",108,326,420,130,238,394,95,175,317,80,148,284,85,157,295,102,188,333,Garchomp.png
Mega Garchomp,"Dragon, Ground",Mach Pokémon,1.9 m (6′03″),95.0 kg (209.4 lbs),1. Sand Force,3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),315,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",108,326,420,170,310,482,115,211,361,120,220,372,95,175,317,92,170,311,Mega Garchomp.png
Gardevoir,"Psychic, Fairy",Embrace Pokémon,1.6 m (5′03″),48.4 kg (106.7 lbs),"1. Synchronize, 2. Trace, Telepathy (hidden ability)",3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),259,Slow,"Amorphous, Human-Like","50% male, 50% female","20 (4,884–5,140 steps)",68,246,340,65,121,251,65,121,251,125,229,383,115,211,361,80,148,284,Gardevoir.png
Mega Gardevoir,"Psychic, Fairy",Embrace Pokémon,1.6 m (5′03″),48.4 kg (106.7 lbs),1. Pixilate,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),278,Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",68,246,340,85,157,295,65,121,251,165,301,471,135,247,405,100,184,328,Mega Gardevoir.png
Garganacl,Rock,Rock Salt Pokémon,2.3 m (7′07″),240.0 kg (529.1 lbs),"1. Purifying Salt, 2. Sturdy, Clear Body (hidden ability)",3 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),250,Medium Slow,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",100,310,404,100,184,328,130,238,394,45,85,207,90,166,306,35,67,185,Garganacl.png
Gastly,"Ghost, Poison",Gas Pokémon,1.3 m (4′03″),0.1 kg (0.2 lbs),1. Levitate,1 Sp. Atk,"190 (24.8% with PokéBall, full HP)",50 (normal),62,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",30,170,264,35,67,185,30,58,174,100,184,328,35,67,185,80,148,284,Gastly.png
Gastrodon,"Water, Ground",Sea Slug Pokémon,0.9 m (2′11″),29.9 kg (65.9 lbs),"1. Sticky Hold, 2. Storm Drain, Sand Force (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,"Amorphous, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",111,332,426,83,153,291,68,126,258,92,170,311,82,152,289,39,74,194,Gastrodon.png
Genesect,"Bug, Steel",Paleozoic Pokémon,1.5 m (4′11″),82.5 kg (181.9 lbs),1. Download,"1 Attack, 1 Sp. Atk, 1 Speed","3 (0.4% with PokéBall, full HP)",0 (lower than normal),270,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",71,252,346,120,220,372,95,175,317,120,220,372,95,175,317,99,182,326,Genesect.png
Gengar,"Ghost, Poison",Shadow Pokémon,1.5 m (4′11″),40.5 kg (89.3 lbs),1. Cursed Body,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),250,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,65,121,251,60,112,240,130,238,394,75,139,273,110,202,350,Gengar.png
Mega Gengar,"Ghost, Poison",Shadow Pokémon,1.4 m (4′07″),40.5 kg (89.3 lbs),1. Shadow Tag,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),270,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,65,121,251,80,148,284,170,310,482,95,175,317,130,238,394,Mega Gengar.png
Geodude,"Rock, Ground",Rock Pokémon,0.4 m (1′04″),20.0 kg (44.1 lbs),"1. Rock Head, 2. Sturdy, Sand Veil (hidden ability)",1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Slow,Mineral,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,80,148,284,100,184,328,30,58,174,30,58,174,20,40,152,Geodude.png
Alolan Geodude,"Rock, Electric",Rock Pokémon,0.4 m (1′04″),20.3 kg (44.8 lbs),"1. Magnet Pull, 2. Sturdy, Galvanize (hidden ability)",1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Slow,Mineral,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,80,148,284,100,184,328,30,58,174,30,58,174,20,40,152,Alolan Geodude.png
Gholdengo,"Steel, Ghost",Coin Entity Pokémon,1.2 m (3′11″),30.0 kg (66.1 lbs),1. Good as Gold,2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),275,Slow,Undiscovered,Genderless,"50 (12,594–12,850 steps)",87,284,378,60,112,240,95,175,317,133,243,401,91,168,309,84,155,293,Gholdengo.png
Gible,"Dragon, Ground",Land Shark Pokémon,0.7 m (2′04″),20.5 kg (45.2 lbs),"1. Sand Veil, Rough Skin (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),60,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",58,226,320,70,130,262,45,85,207,40,76,196,45,85,207,42,80,201,Gible.png
Gigalith,Rock,Compressed Pokémon,1.7 m (5′07″),260.0 kg (573.2 lbs),"1. Sturdy, 2. Sand Stream, Sand Force (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),232,Medium Slow,Mineral,"50% male, 50% female","15 (3,599–3,855 steps)",85,280,374,135,247,405,130,238,394,60,112,240,80,148,284,25,49,163,Gigalith.png
Gimmighoul Chest Form,Ghost,Coin Chest Pokémon,0.3 m (1′00″),5.0 kg (11.0 lbs),1. Rattled,1 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),60,Slow,Undiscovered,Genderless,"50 (12,594–12,850 steps)",45,200,294,30,58,174,70,130,262,75,139,273,70,130,262,10,22,130,Gimmighoul (Chest Form).png
Gimmighoul Roaming Form,Ghost,Coin Hunter Pokémon,0.1 m (0′04″),0.1 kg (0.2 lbs),1. Run Away,1 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),60,Slow,Undiscovered,Genderless,"50 (12,594–12,850 steps)",45,200,294,30,58,174,25,49,163,75,139,273,45,85,207,80,148,284,Gimmighoul (Roaming Form).png
Girafarig,"Normal, Psychic",Long Neck Pokémon,1.5 m (4′11″),41.5 kg (91.5 lbs),"1. Inner Focus, 2. Early Bird, Sap Sipper (hidden ability)",2 Sp. Atk,"60 (7.8% with PokéBall, full HP)",50 (normal),159,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,80,148,284,65,121,251,90,166,306,65,121,251,85,157,295,Girafarig.png
Giratina Altered Forme,"Ghost, Dragon",Renegade Pokémon,4.5 m (14′09″),750.0 kg (1653.5 lbs),"1. Pressure, Telepathy (hidden ability)",3 HP,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),340,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",150,410,504,100,184,328,120,220,372,100,184,328,120,220,372,90,166,306,Giratina (Altered Forme).png
Giratina Origin Forme,"Ghost, Dragon",Renegade Pokémon,6.9 m (22′08″),650.0 kg (1433.0 lbs),1. Levitate,3 HP,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),340,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",150,410,504,120,220,372,100,184,328,120,220,372,100,184,328,90,166,306,Giratina (Origin Forme).png
Glaceon,Ice,Fresh Snow Pokémon,0.8 m (2′07″),25.9 kg (57.1 lbs),"1. Snow Cloak, Ice Body (hidden ability)",2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),184,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",65,240,334,60,112,240,110,202,350,130,238,394,95,175,317,65,121,251,Glaceon.png
Glalie,Ice,Face Pokémon,1.5 m (4′11″),256.5 kg (565.5 lbs),"1. Inner Focus, 2. Ice Body, Moody (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),168,Medium Fast,"Fairy, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,80,148,284,80,148,284,80,148,284,80,148,284,80,148,284,Glalie.png
Mega Glalie,Ice,Face Pokémon,2.1 m (6′11″),350.2 kg (772.1 lbs),1. Refrigerate,2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),203,Medium Fast,"Fairy, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,120,220,372,80,148,284,120,220,372,80,148,284,100,184,328,Mega Glalie.png
Glameow,Normal,Catty Pokémon,0.5 m (1′08″),3.9 kg (8.6 lbs),"1. Limber, 2. Own Tempo, Keen Eye (hidden ability)",1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),62,Fast,Field,"25% male, 75% female","20 (4,884–5,140 steps)",49,208,302,55,103,229,42,80,201,42,80,201,37,71,190,85,157,295,Glameow.png
Glastrier,Ice,Wild Horse Pokémon,2.2 m (7′03″),800.0 kg (1763.7 lbs),1. Chilling Neigh,3 Attack,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",100,310,404,145,265,427,130,238,394,65,121,251,110,202,350,30,58,174,Glastrier.png
Gligar,"Ground, Flying",FlyScorpion Pokémon,1.1 m (3′07″),64.8 kg (142.9 lbs),"1. Hyper Cutter, 2. Sand Veil, Immunity (hidden ability)",1 Defense,"60 (7.8% with PokéBall, full HP)",50 (normal),86,Medium Slow,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,75,139,273,105,193,339,35,67,185,65,121,251,85,157,295,Gligar.png
Glimmet,"Rock, Poison",Ore Pokémon,0.7 m (2′04″),8.0 kg (17.6 lbs),"1. Toxic Debris, Corrosion (hidden ability)",1 Sp. Atk,"70 (9.1% with PokéBall, full HP)",50 (normal),70,Medium Slow,Mineral,"50% male, 50% female","30 (7,454–7,710 steps)",48,206,300,35,67,185,42,80,201,105,193,339,60,112,240,60,112,240,Glimmet.png
Glimmora,"Rock, Poison",Ore Pokémon,1.5 m (4′11″),45.0 kg (99.2 lbs),"1. Toxic Debris, Corrosion (hidden ability)",2 Sp. Atk,"25 (3.3% with PokéBall, full HP)",50 (normal),184,Medium Slow,Mineral,"50% male, 50% female","30 (7,454–7,710 steps)",83,276,370,55,103,229,90,166,306,130,238,394,81,150,287,86,159,298,Glimmora.png
Gliscor,"Ground, Flying",Fang Scorp Pokémon,2.0 m (6′07″),42.5 kg (93.7 lbs),"1. Hyper Cutter, 2. Sand Veil, Poison Heal (hidden ability)",2 Defense,"30 (3.9% with PokéBall, full HP)",50 (normal),179,Medium Slow,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,95,175,317,125,229,383,45,85,207,75,139,273,95,175,317,Gliscor.png
Gloom,"Grass, Poison",Weed Pokémon,0.8 m (2′07″),8.6 kg (19.0 lbs),"1. Chlorophyll, Stench (hidden ability)",2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),138,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,65,121,251,70,130,262,85,157,295,75,139,273,40,76,196,Gloom.png
Gogoat,Grass,Mount Pokémon,1.7 m (5′07″),91.0 kg (200.6 lbs),"1. Sap Sipper, Grass Pelt (hidden ability)",2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),186,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",123,356,450,100,184,328,62,116,245,97,179,322,81,150,287,68,126,258,Gogoat.png
Golbat,"Poison, Flying",Bat Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),"1. Inner Focus, Infiltrator (hidden ability)",2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),159,Medium Fast,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",75,260,354,80,148,284,70,130,262,65,121,251,75,139,273,90,166,306,Golbat.png
Goldeen,Water,Goldfish Pokémon,0.6 m (2′00″),15.0 kg (33.1 lbs),"1. Swift Swim, 2. Water Veil, Lightning Rod (hidden ability)",1 Attack,"225 (29.4% with PokéBall, full HP)",50 (normal),64,Medium Fast,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",45,200,294,67,125,256,60,112,240,35,67,185,50,94,218,63,117,247,Goldeen.png
Golduck,Water,Duck Pokémon,1.7 m (5′07″),76.6 kg (168.9 lbs),"1. Damp, 2. Cloud Nine, Swift Swim (hidden ability)",2 Sp. Atk,"75 (9.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,"Field, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,82,152,289,78,144,280,95,175,317,80,148,284,85,157,295,Golduck.png
Golem,"Rock, Ground",Megaton Pokémon,1.4 m (4′07″),300.0 kg (661.4 lbs),"1. Rock Head, 2. Sturdy, Sand Veil (hidden ability)",3 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),223,Medium Slow,Mineral,"50% male, 50% female","15 (3,599–3,855 steps)",80,270,364,120,220,372,130,238,394,55,103,229,65,121,251,45,85,207,Golem.png
